,mainframe,framedata,datatocompare,comparison
0,196,196,216,True
1,196,196,216,True
2,196,196,216,True
3,196,196,216,True
4,196,196,216,True
5,196,196,216,True
6,196,196,216,True
7,196,196,216,True
8,195,195,215,True
9,195,195,215,True
10,195,195,215,True
11,195,195,215,True
12,195,195,215,True
13,195,195,215,True
14,195,195,215,True
15,195,195,215,True
16,195,196,215,True
17,195,196,215,True
18,195,196,215,True
19,195,196,215,True
20,195,196,215,True
21,195,196,215,True
22,195,196,215,True
23,195,196,215,True
24,195,196,215,True
25,195,196,215,True
26,195,196,215,True
27,195,196,215,True
28,195,196,215,True
29,195,196,215,True
30,195,195,215,True
31,195,195,215,True
32,194,195,214,True
33,194,194,214,True
34,194,194,214,True
35,194,194,214,True
36,194,194,214,True
37,194,194,214,True
38,194,194,214,True
39,194,194,214,True
40,194,194,214,True
41,194,194,214,True
42,194,194,214,True
43,194,194,214,True
44,194,194,214,True
45,194,194,214,True
46,193,193,213,True
47,193,193,213,True
48,193,194,213,True
49,193,194,213,True
50,193,194,213,True
51,193,194,213,True
52,193,194,213,True
53,193,194,213,True
54,194,194,214,True
55,195,194,215,True
56,195,194,215,True
57,195,194,215,True
58,197,194,217,True
59,197,194,217,True
60,196,193,216,True
61,196,193,216,True
62,195,193,215,True
63,195,193,215,True
64,195,193,215,True
65,196,193,216,True
66,196,194,216,True
67,196,194,216,True
68,196,194,216,True
69,197,194,217,True
70,196,194,216,True
71,196,194,216,True
72,195,194,215,True
73,195,194,215,True
74,194,194,214,True
75,194,194,214,True
76,194,194,214,True
77,194,194,214,True
78,194,195,214,True
79,194,195,214,True
80,195,194,215,True
81,195,194,215,True
82,195,194,215,True
83,194,194,214,True
84,194,194,214,True
85,193,194,213,True
86,193,194,213,True
87,193,194,213,True
88,193,194,213,True
89,192,194,212,True
90,192,194,212,True
91,192,194,212,True
92,190,194,210,True
93,190,194,210,True
94,189,194,209,True
95,189,193,209,True
96,189,192,209,True
97,189,191,209,True
98,189,191,209,True
99,189,189,209,True
100,189,189,209,True
101,189,189,209,True
102,189,189,209,True
103,191,191,211,True
104,191,191,211,True
105,191,191,211,True
106,191,191,211,True
107,191,191,211,True
108,191,191,211,True
109,191,191,211,True
110,191,191,211,True
111,191,191,211,True
112,191,191,211,True
113,191,191,211,True
114,191,191,211,True
115,189,191,209,True
116,188,191,208,True
117,188,191,208,True
118,187,191,207,True
119,187,191,207,True
120,187,189,207,True
121,187,189,207,True
122,187,189,207,True
123,188,188,208,True
124,189,187,209,True
125,189,187,209,True
126,191,187,211,True
127,191,187,211,True
128,191,187,211,True
129,191,188,211,True
130,191,188,211,True
131,189,188,209,True
132,188,188,208,True
133,188,188,208,True
134,188,188,208,True
135,188,188,208,True
136,187,188,207,True
137,187,188,207,True
138,187,188,207,True
139,187,188,207,True
140,186,188,206,True
141,186,188,206,True
142,186,188,206,True
143,186,188,206,True
144,186,188,206,True
145,187,188,207,True
146,187,188,207,True
147,187,188,207,True
148,187,188,207,True
149,187,188,207,True
150,187,188,207,True
151,187,188,207,True
152,187,188,207,True
153,187,188,207,True
154,187,188,207,True
155,187,188,207,True
156,187,188,207,True
157,187,188,207,True
158,187,188,207,True
159,187,188,207,True
160,186,188,206,True
161,186,188,206,True
162,186,188,206,True
163,186,188,206,True
164,186,188,206,True
165,186,188,206,True
166,186,188,206,True
167,186,188,206,True
168,186,188,206,True
169,186,188,206,True
170,186,188,206,True
171,185,188,205,True
172,186,188,206,True
173,186,188,206,True
174,186,188,206,True
175,186,188,206,True
176,186,188,206,True
177,186,188,206,True
178,186,188,206,True
179,186,188,206,True
180,186,188,206,True
181,186,188,206,True
182,187,188,207,True
183,187,188,207,True
184,188,188,208,True
185,188,188,208,True
186,188,188,208,True
187,187,188,207,True
188,187,188,207,True
189,187,188,207,True
190,187,188,207,True
191,187,188,207,True
192,187,188,207,True
193,188,188,208,True
194,187,188,207,True
195,187,188,207,True
196,186,188,206,True
197,186,188,206,True
198,186,188,206,True
199,186,188,206,True
200,186,187,206,True
201,186,187,206,True
202,186,187,206,True
203,186,187,206,True
204,185,187,205,True
205,185,187,205,True
206,185,187,205,True
207,185,187,205,True
208,185,186,205,True
209,185,186,205,True
210,185,186,205,True
211,184,186,204,True
212,184,186,204,True
213,182,186,202,True
214,182,186,202,True
215,182,186,202,True
216,182,186,202,True
217,182,186,202,True
218,184,186,204,True
219,185,186,205,True
220,185,186,205,True
221,186,186,206,True
222,186,186,206,True
223,186,186,206,True
224,187,186,207,True
225,187,186,207,True
226,186,186,206,True
227,186,186,206,True
228,186,186,206,True
229,186,186,206,True
230,186,186,206,True
231,186,186,206,True
232,187,186,207,True
233,187,186,207,True
